ID,Hakfa_FHL_Unicode,PFS_Unicode,PFS_Numeric,Hakfa_IPA,Taigi_FHL_Unicode,POJ_Unicode,Hanzi,Hakfa_HanLo,Taigi_HanLo,Hua-gi
9692,pân-kap,pân-kap,pan1-kap6,[pan˨˦] [kap̚˨],húnchiáu,hún-chiáu,pânkap,斑鴿,粉鳥,鴿子
9693,pan-ke,pan-ke,pan4-ke4,[pan˥˥] [ke˥˥],pòaⁿ ê,pòaⁿ ê,pan ke,半個,半个,半個
9694,pan-khì,pan-khì,pan4-khi2,[pan˥˥] [kʰi˩˩],pòaⁿ kî,pòaⁿ kî,pan khì,半期,半期,半期
9695,pân-khôi,pân-khôi,pan1-khoi1,[pan˨˦] [kʰoi˨˦],poaⁿ khui,poaⁿ khui,pân khôi,搬開,搬開,搬開
9696,pan-ki,pan-ki,pan4-ki4,[pan˥˥] [ki˥˥],pòaⁿ kù,pòaⁿ kù,pan ki,半句,半句,半句
9697,pân-kiêu,pân-kiêu,pan1-kieu1,[pan˨˦] [kieu˨˦],pankah,pan-kah,pânkiêu,班鳩,班鳩,班鳩
9698,pân-kiêu-é,pân-kiêu-é,pan1-kieu1-e3,[pan˨˦] [kieu˨˦] [e˧˩],pankah,pan-kah,pânkiêu'é,斑鳩é,斑鳩,斑鳩
9699,pan-kîn,pan-kîn,pan4-kin1,[pan˥˥] [kin˨˦],pòaⁿ kin,pòaⁿ kin,pan kîn,半斤,半斤,半斤
9700,pan-kiok,pan-kiok,pan4-kiok6,[pan˥˥] [kiok̚˨],pòaⁿkha,pòaⁿ-kha,pankiok,絆腳,絆腳,絆腳
9701,pan-kiok-sa̍k,pan-kiok-sa̍k,pan4-kiok6-sak5,[pan˥˥] [kiok̚˨] [sak̚˥],pòaⁿkha chio̍h,pòaⁿ-kha chio̍h,pankiok sa̍k,絆腳石,絆腳石,絆腳石
9702,pan-liông,pan-liông,pan4-liong1,[pan˥˥] [lioŋ˨˦],pòaⁿ niú,pòaⁿ niú,pan liông,半兩,半兩,半兩
9703,pân-lòi,pân-lòi,pan1-loi2,[pan˨˦] [loi˩˩],poaⁿ lâi,poaⁿ lâi,pân lòi,搬來,搬來,搬來
9704,pan-lu,pan-lu,pan4-lu4,[pan˥˥] [lu˥˥],pòaⁿ lō͘,pòaⁿ lō͘,pan lu,半路,半路,半路
9705,pan-lu,pan-lu,pan4-lu4,[pan˥˥] [lu˥˥],pòaⁿlō͘,pòaⁿ-lō͘,panlu,半路,途中,途中
9706,pân-mâ,pân-mâ,pan1-ma1,[pan˨˦] [ma˨˦],panbé,pan-bé,pânmâ,斑馬,斑馬,斑馬
9707,pan-mî,pan-mî,pan4-mi1,[pan˥˥] [mi˨˦],pòaⁿ bóe,pòaⁿ bóe,pan mî,半尾,半尾,半尾
9708,pân-ngi̍p,pân-ngi̍p,pan1-ngip5,[pan˨˦] [ɲip̚˥],poaⁿ ji̍p,poaⁿ ji̍p,pân ngi̍p,搬入,搬入,搬入
9709,pân-nung,pân-nung,pan1-nung4,[pan˨˦] [nuŋ˥˥],híláng,hí-láng,pânnung,搬弄,戲弄,搬弄
9710,pân-pân,pân-pân,pan1-pan1,[pan˨˦] [pan˨˦],chióngchióng,chióng-chióng,pânpân,般般,種種,種種
9711,pan-phì-chiâng,pan-phì-chiâng,pan4-phi2-chiang1,[pan˥˥] [pʰi˩˩] [tɕiaŋ˨˦],pòaⁿ pûichiaⁿ,pòaⁿ pûi-chiaⁿ,pan phìchiâng,半肥腈,半肥chiaⁿ,豬肉半肥半瘦
9712,pan-phiet,pan-phiet,pan4-phiet6,[pan˥˥] [pʰiet̚˨],pòaⁿ phiat,pòaⁿ phiat,pan phiet,半撇,半撇,半撇
9713,pân-pu,pân-pu,pan1-pu4,[pan˨˦] [pu˥˥],panpò͘,pan-pò͘,pânpu,頒佈,頒佈,頒佈
9714,pan-puk,pan-puk,pan4-puk6,[pan˥˥] [puk̚˨],pòaⁿ pak,pòaⁿ pak,pan puk,半幅,半幅,半幅
9715,pán-pún,pán-pún,pan3-pun3,[pan˧˩] [pun˧˩],pánpún,pán-pún,pánpún,版本,版本,版本
9716,pân-pûn,pân-pûn,pan1-pun1,[pan˨˦] [pun˨˦],pan hō͘,pan hō͘,pân pûn,頒給,頒hō͘,頒給
9717,pan-sak,pan-sak,pan4-sak6,[pan˥˥] [sak̚˨],pòaⁿ phìⁿ,pòaⁿ phìⁿ,pan sak,半析,半片,半片
9718,pan-sâng-sí,pan-sâng-sí,pan4-sang1-si3,[pan˥˥] [saŋ˨˦] [ɕi˧˩],pòaⁿ seⁿsí,pòaⁿ seⁿ-sí,pan sângsí,半生死,半生死,半生死
9719,pan-sâng-su̍k,pan-sâng-su̍k,pan4-sang1-suk5,[pan˥˥] [saŋ˨˦] [suk̚˥],pòaⁿchheⁿ se̍k,pòaⁿ-chheⁿ se̍k,pan sângsu̍k,半生熟,半生熟,半生熟
9720,pan-sí,pan-sí,pan4-si3,[pan˥˥] [ɕi˧˩],pòaⁿ sí,pòaⁿ sí,pan sí,半死,半死,半死
9721,pán-song,pán-song,pan3-song4,[pan˧˩] [soŋ˥˥],pán téng,pán téng,pán song,版上,版頂,版上
9722,pân-sông,pân-sông,pan1-song1,[pan˨˦] [soŋ˨˦],poaⁿ khí lì,poaⁿ khí lì,pân sông,搬上,搬上,搬上
9723,pân-têu,pân-têu,pan1-teu1,[pan˨˦] [teu˨˦],poaⁿ kòa,poaⁿ kòa,pân têu,搬兜,搬kóa,搬一部分
9724,pán-thiàu,pán-thiàu,pan3-thiau2,[pan˧˩] [tʰiau˩˩],pántiâu,pán-tiâu,pánthiàu,粄條,粄條,粄條
9725,pan-thiên-kô,pan-thiên-kô,pan4-thien1-ko1,[pan˥˥] [tʰien˨˦] [ko˨˦],pòaⁿthiⁿ koân,pòaⁿ-thiⁿ koân,panthiên kô,半天高,半天koân,很高
9726,pân-thûng,pân-thûng,pan1-thung1,[pan˨˦] [tʰuŋ˨˦],poaⁿ tíntāng,poaⁿ tín-tāng,pânthûng,搬動,搬tín動,搬動
9727,pan-tiám,pan-tiám,pan4-tiam3,[pan˥˥] [tiam˧˩],pòaⁿ tiám,pòaⁿ tiám,pan tiám,半點,半點,半點
9728,pân-tiám,pân-tiám,pan1-tiam3,[pan˨˦] [tiam˧˩],pantiám,pan-tiám,pântiám,斑點,斑點,斑點
9729,pan-tiám-chûng,pan-tiám-chûng,pan4-tiam3-chung1,[pan˥˥] [tiam˧˩] [tsuŋ˨˦],pòaⁿ tiámcheng,pòaⁿ tiám-cheng,pan tiámchûng,半點鐘,半點鐘,半個鐘頭
9730,pan-ti̍t,pan-ti̍t,pan4-tit5,[pan˥˥] [tit̚˥],pòaⁿ tih,pòaⁿ tih,pan ti̍t,半滴,半滴,半滴
9731,pan-tó,pan-tó,pan4-to3,[pan˥˥] [to˧˩],pòaⁿ tó,pòaⁿ tó,pan tó,絆倒,絆倒,絆倒
9732,pân-to,pân-to,pan1-to4,[pan˨˦] [to˥˥],poaⁿ kah,poaⁿ kah,pân to,搬到,搬kah,搬到
9733,pân-vuk,pân-vuk,pan1-vuk6,[pan˨˦] [ʋuk̚˨],poaⁿ chhù,poaⁿ chhù,pân vuk,搬屋,搬厝,搬家
9734,pân-vùn,pân-vùn,pan1-vun2,[pan˨˦] [ʋun˩˩],panbûn,pan-bûn,pânvùn,斑紋,斑紋,斑紋
9735,pan-ya,pan-ya,pan4-ya4,[pan˥˥] [ia˥˥],pòaⁿmê,pòaⁿ-mê,panya,半夜,半暝,半夜
9736,pán-yèn,pán-yèn,pan3-yen2,[pan˧˩] [ien˩˩],îⁿ'á,îⁿ-á,pányèn,粄圓,圓á,湯圓
9737,pân-yun,pân-yun,pan1-yun4,[pan˨˦] [iun˥˥],poaⁿūn,poaⁿ-ūn,pânyun,搬運,搬運,搬運
9738,pâng-chhièn,pâng-chhièn,pang1-chhien2,[paŋ˨˦] [tɕʰien˩˩],poah chêng,poah chêng,pâng chhièn,拔前,撥前,時間向前挪移
9739,pâng-chhó,pâng-chhó,pang1-chho3,[paŋ˨˦] [tsʰo˧˩],khau chháu,khau chháu,pâng chhó,拔草,khau草,拔草
9740,pâng-chhó,pâng-chhó,pang1-chho3,[paŋ˨˦] [tsʰo˧˩],khau chháu,khau chháu,pângchhó,拔草,khau草,拔草
9741,pâng-chhut,pâng-chhut,pang1-chhut6,[paŋ˨˦] [tsʰut̚˨],poeh chhut,poeh chhut,pângchhut,拔出,拔出,拔出
9742,pâng-chhṳ̍t,pâng-chhṳ̍t,pang1-chhiit5,[paŋ˨˦] [tsʰɨt̚˥],giú ti̍t,giú ti̍t,pâng chhṳ̍t,拔直,拉直,拉直
9743,pâng-hí,pâng-hí,pang1-hi3,[paŋ˨˦] [hi˧˩],poeh khí,poeh khí,pânghí,拔起,拔起,拔起
9744,pâng-koet,pâng-koet,pang1-koet6,[paŋ˨˦] [koet̚˨],pangkok,pang-kok,pângkoet,邦國,邦國,邦國
9745,pâng-lò-phe̍t,pâng-lò-phe̍t,pang1-lo2-phet5,[paŋ˨˦] [lo˩˩] [pʰet̚˥],khau chhàithâu,khau chhài-thâu,pâng lòphe̍t,拔蘿蔔,khau菜頭,拔蘿蔔
9746,pâng-ngà-chhṳ́,pâng-ngà-chhṳ́,pang1-nga2-chhii3,[paŋ˨˦] [ŋa˩˩] [tsʰɨ˧˩],bán chhúikhí,bán chhúi-khí,pângngàchhṳ́,拔牙齒,挽嘴齒,拔牙齒
9747,pâng-tén,pâng-tén,pang1-ten3,[paŋ˨˦] [ten˧˩],giú leh,giú leh,pâng tén,拔著,giú leh,拉著
9748,pâng-thai-sok,pâng-thai-sok,pang1-thai4-sok6,[paŋ˨˦] [tʰai˥˥] [sok̚˨],giú tōasoh,giú tōa-soh,pângthaisok,拔大索,giú大索,拔河
9749,pâng-thet,pâng-thet,pang1-thet6,[paŋ˨˦] [tʰet̚˨],bán tiāu,bán tiāu,pângthet,拔掉,bán掉,拔掉
9750,pâng-thôn,pâng-thôn,pang1-thon1,[paŋ˨˦] [tʰon˨˦],bán tn̄g,bán tn̄g,pângthôn,拔斷,bán斷,拔斷
9751,pat-chak,pat-chak,pat6-chak6,[pat̚˨] [tsak̚˨],peh chiah,peh chiah,pat chak,八隻,八隻,八隻
9752,pat-chhiên,pat-chhiên,pat6-chhien1,[pat̚˨] [tɕʰien˨˦],peh chheng,peh chheng,pat chhiên,八千,八千,八千
9753,pat-chho,pat-chho,pat6-chho4,[pat̚˨] [tsʰo˥˥],peh chō,peh chō,pat chho,八座,八座,八座
9754,pat-chhut,pat-chhut,pat6-chhut6,[pat̚˨] [tsʰut̚˨],poah chhut,poah chhut,pat chhut,撥出,撥出,撥出
9755,pat-chông,pat-chông,pat6-chong1,[pat̚˨] [tsoŋ˨˦],peh chiuⁿ,peh chiuⁿ,pat chông,八章,八章,八章
9756,pat-chông,pat-chông,pat6-chong1,[pat̚˨] [tsoŋ˨˦],peh tiuⁿ,peh tiuⁿ,pat chông,八張,八張,八張
9757,pat-chû,pat-chû,pat6-chu1,[pat̚˨] [tsu˨˦],pehcho͘,peh-cho͘,pat chû,八組,八組,八組
9758,pat-fông,pat-fông,pat6-fong1,[pat̚˨] [foŋ˨˦],peh hng,peh hng,pat fông,八方,八方,八方
9759,pat-fun,pat-fun,pat6-fun4,[pat̚˨] [fun˥˥],peh hūn,peh hūn,pat fun,八份,八份,八份
9760,pat-ke,pat-ke,pat6-ke4,[pat̚˨] [ke˥˥],peh ê,peh ê,pat ke,八個,八个,八個
9761,pat-khieu,pat-khieu,pat6-khieu4,[pat̚˨] [kʰieu˥˥],patkhiàu,pat-khiàu,patkhieu,八竅,八竅,八竅
9762,pat-kî,pat-kî,pat6-ki1,[pat̚˨] [ki˨˦],peh ki,peh ki,pat kî,八支,八支,八支
9763,pat-kok,pat-kok,pat6-kok6,[pat̚˨] [kok̚˨],pehkak,peh-kak,patkok,八角,八角,八角
9764,pa̍t-lé,pa̍t-lé,pat5-le3,[pat̚˥] [le˧˩],pa̍t'á,pa̍t-á,pa̍tlé,朳lé,菝á,番石榴
9765,pat-lì,pat-lì,pat6-li2,[pat̚˨] [li˩˩],poah lī,poah lī,patlì,撥離,撥離,撥離
9766,pat-lia̍p,pat-lia̍p,pat6-liap5,[pat̚˨] [liap̚˥],peh lia̍p,peh lia̍p,pat lia̍p,八粒,八粒,八粒
9767,pat-miàng,pat-miàng,pat6-miang2,[pat̚˨] [miaŋ˩˩],peh miâ,peh miâ,pat miàng,八名,八名,八名
9768,pat-ngièn,pat-ngièn,pat6-ngien2,[pat̚˨] [ɲien˩˩],peh nî,peh nî,pat ngièn,八年,八年,八年
9769,pat-ngie̍t,pat-ngie̍t,pat6-ngiet5,[pat̚˨] [ɲiet̚˥],peh goe̍h,peh goe̍h,pat ngie̍t,八月,八月,八月
9770,Pat-ngie̍t-pan,Pat-ngie̍t-pan,Pat6-ngiet5-pan4,[pat̚˨] [ɲiet̚˥] [pan˥˥],Pehgoe̍hpòaⁿ,Peh-goe̍h-pòaⁿ,Patngie̍tpan,八月半,八月半,八月半
9771,pat-ngìn,pat-ngìn,pat6-ngin2,[pat̚˨] [ɲin˩˩],peh lâng,peh lâng,pat ngìn,八人,八人,八人
9772,pat-ngit,pat-ngit,pat6-ngit6,[pat̚˨] [ɲit̚˨],peh ji̍t,peh ji̍t,pat ngit,八日,八日,八日
9773,pat-pak,pat-pak,pat6-pak6,[pat̚˨] [pak̚˨],peh pah,peh pah,pat pak,八百,八百,八百
9774,pat-sà,pat-sà,pat6-sa2,[pat̚˨] [sa˩˩],peh ūi,peh ūi,pat sà,八儕,八位,八位
9775,pat-se,pat-se,pat6-se4,[pat̚˨] [se˥˥],peh hòe,peh hòe,pat se,八歲,八歲,八歲
9776,pat-siên,pat-siên,pat6-sien1,[pat̚˨] [ɕien˨˦],patsian,pat-sian,patsiên,八仙,八仙,八仙
9777,pat-sṳ̍p,pat-sṳ̍p,pat6-siip5,[pat̚˨] [sɨp̚˥],pehcha̍p,peh-cha̍p,patsṳ̍p,八十,八十,八十
9778,pat-sṳ̍p,pat-sṳ̍p,pat6-siip5,[pat̚˨] [sɨp̚˥],pehjī,peh-jī,patsṳ̍p,八字,八字,八字
9779,pat-thèu,pat-thèu,pat6-theu2,[pat̚˨] [tʰeu˩˩],óaⁿkong,óaⁿ-kong,patthèu,缽頭,碗公,裝食物的用具
9780,pat-ton,pat-ton,pat6-ton4,[pat̚˨] [ton˥˥],peh tōaⁿ,peh tōaⁿ,pat ton,八段,八段,八段
9781,pat-van,pat-van,pat6-van4,[pat̚˨] [ʋan˥˥],peh bān,peh bān,patvan,八萬,八萬,八萬
9782,pâu thien-ngî,pâu thien-ngî,pau1 thien4-ngi1,[pau˨˦] [tʰien˥˥] [ɲi˨˦],pau tiāngî,pau tiān-gî,pâu thienngî,包奠儀,包奠儀,包奠儀
9783,pau-chhà,pau-chhà,pau4-chha2,[pau˥˥] [tsʰa˩˩],phàu tê,phàu tê,pau chhà,泡茶,泡茶,泡茶
9784,pau-chhut,pau-chhut,pau4-chhut6,[pau˥˥] [tsʰut̚˨],po̍k chhut,po̍k chhut,pau chhut,爆出,爆出,爆出
9785,páu-chiuk,páu-chiuk,pau3-chiuk6,[pau˧˩] [tɕiuk̚˨],páchiok,pá-chiok,páuchiuk,飽足,飽足,飽足
9786,páu-chong,páu-chong,pau3-chong4,[pau˧˩] [tsoŋ˥˥],pátiùⁿ,pát-iùⁿ,páuchong,飽脹,飽脹,飲食過飽
9787,pau-é,pau-é,pau4-e3,[pau˥˥] [e˧˩],pà,pà,pau'é,豹é,豹,豹
9788,pâu-é,pâu-é,pau1-e3,[pau˨˦] [e˧˩],pau'á,pau-á,pâu'é,包é,包á,包子
9789,pâu-fu̍k,pâu-fu̍k,pau1-fuk5,[pau˨˦] [fuk̚˥],pauho̍k,pau-ho̍k,pâufu̍k,包袱,包袱,包袱
9790,pâu-hàm,pâu-hàm,pau1-ham2,[pau˨˦] [ham˩˩],pauhâm,pau-hâm,pâuhàm,包含,包含,包含
9791,pâu-hó,pâu-hó,pau1-ho3,[pau˨˦] [ho˧˩],pau hó,pau hó,pâu hó,包好,包好,包好
9792,páu-ho̍k,páu-ho̍k,pau3-hok5,[pau˧˩] [hok̚˥],páha̍k,pá-ha̍k,páuho̍k,飽學,飽學,飽學
9793,pâu-kîm,pâu-kîm,pau1-kim1,[pau˨˦] [kim˨˦],pau kim,pau kim,pâu kîm,包金,包金,包金
9794,pâu-lî,pâu-lî,pau1-li1,[pau˨˦] [li˨˦],pau lé,pau lé,pâu lî,包禮,包禮,包禮
9795,páu-mân,páu-mân,pau3-man1,[pau˧˩] [man˨˦],pámóa,pám-óa,páumân,飽滿,飽滿,飽滿
9796,pâu-mî,pâu-mî,pau1-mi1,[pau˨˦] [mi˨˦],lo̍hbóe,lo̍h-bóe,pâumî,包尾,落尾,殿後
9797,pau-ngà,pau-ngà,pau4-nga2,[pau˥˥] [ŋa˩˩],puh gê,puh gê,pau ngà,爆芽,puh芽,抽芽
9798,pâu-phì,pâu-phì,pau1-phi2,[pau˨˦] [pʰi˩˩],pauphôe,pau-phôe,pâuphì,包皮,包皮,包皮
9799,pau-phung,pau-phung,pau4-phung4,[pau˥˥] [pʰuŋ˥˥],li̍hphāng,li̍h-phāng,pauphung,暴縫,裂縫,裂縫
9800,pau-sien-phung,pau-sien-phung,pau4-sien4-phung4,[pau˥˥] [ɕien˥˥] [pʰuŋ˥˥],li̍h sòaⁿchē,li̍h sòaⁿ-chē,pau sienphung,暴線縫,裂線chē,衣服的縫合處裂開
9801,pau-sún,pau-sún,pau4-sun3,[pau˥˥] [sun˧˩],puh gê,puh gê,pau sún,爆筍,puh芽,抽芽
9802,pâu-tén,pâu-tén,pau1-ten3,[pau˨˦] [ten˧˩],pau leh,pau leh,pâu tén,包著,包leh,包著
9803,pau-thet,pau-thet,pau4-thet6,[pau˥˥] [tʰet̚˨],po̍k tiāu,po̍k tiāu,pau thet,爆掉,爆掉,爆掉
9804,pâu-thèu-kîn,pâu-thèu-kîn,pau1-theu2-kin1,[pau˨˦] [tʰeu˩˩] [kin˨˦],pau thâukin,pau thâu-kin,pâu thèukîn,包頭巾,包頭巾,包頭巾
9805,pâu-thùng,pâu-thùng,pau1-thung2,[pau˨˦] [tʰuŋ˩˩],pau tâng,pau tâng,pâu thùng,包銅,包銅,包銅
9806,pâu-vì,pâu-vì,pau1-vi2,[pau˨˦] [ʋi˩˩],pauûi,pau-ûi,pâuvì,包圍,包圍,包圍
9807,Pâu-vì,Pâu-vì,Pau1-vi2,[pau˨˦] [ʋi˩˩],pauûi,pau-ûi,Pâuvì,包圍,包圍,包圍
9808,pâu-yî,pâu-yî,pau1-yi1,[pau˨˦] [i˨˦],thaiui,thai-ui,pâuyî,胞衣,胎ui,胎衣
9809,pâu-yî,pâu-yî,pau1-yi1,[pau˨˦] [i˨˦],thaiui,thai-ui,pâuyî,胞衣,胎衣,胞衣
9810,pâu-yùng,pâu-yùng,pau1-yung2,[pau˨˦] [iuŋ˩˩],pauiông,pau-iông,pâuyùng,包容,包容,包容
9811,pé-pè-chhô,pé-pè-chhô,pe3-pe2-chho1,[pe˧˩] [pe˩˩] [tsʰo˨˦],pēngpâi chē,pēng-pâi chē,pépè chhô,比比坐,並排坐,肩並肩
9812,pên-kông,pên-kông,pen1-kong1,[pen˨˦] [koŋ˨˦],pangkhàm,pang-khàm,pênkông,崩崗,崩崁,懸崖
9813,pên-lie̍t,pên-lie̍t,pen1-liet5,[pen˨˦] [liet̚˥],pangli̍h,pang-li̍h,pênlie̍t,崩裂,崩裂,崩裂
9814,pên-pho̍k,pên-pho̍k,pen1-phok5,[pen˨˦] [pʰok̚˥],pengpha̍uh,peng-pha̍uh,pênpho̍k,冰雹,冰雹,冰雹
9815,pen-piak,pen-piak,pen4-piak6,[pen˥˥] [piak̚˨],khò piah,khò piah,pen piak,凴壁,靠壁,靠著牆
9816,pên-sân,pên-sân,pen1-san1,[pen˨˦] [san˨˦],pangsoaⁿ,pang-soaⁿ,pênsân,崩山,崩山,崩山
9817,pên-siet,pên-siet,pen1-siet6,[pen˨˦] [ɕiet̚˨],pengseh,peng-seh,pênsiet,冰雪,冰雪,冰雪
9818,pên-siông,pên-siông,pen1-siong1,[pen˨˦] [ɕioŋ˨˦],pengsiuⁿ,peng-siuⁿ,pênsiông,冰箱,冰箱,冰箱
9819,pen-tén,pen-tén,pen4-ten3,[pen˥˥] [ten˧˩],khò leh,khò leh,pen tén,凴著,靠leh,靠著
9820,pên-thet,pên-thet,pen1-thet6,[pen˨˦] [tʰet̚˨],pang tiāu,pang tiāu,pên thet,崩掉,崩掉,崩掉
9821,pen-tó,pen-tó,pen4-to3,[pen˥˥] [to˧˩],khò tio̍h,khò tio̍h,pen tó,凴到,靠tio̍h,碰到
9822,pet-chhiet,pet-chhiet,pet6-chhiet6,[pet̚˨] [tɕʰiet̚˨],pekchhiat,pek-chhiat,petchhiet,迫切,迫切,迫切
9823,pet-chhiòng,pet-chhiòng,pet6-chhiong2,[pet̚˨] [tɕʰioŋ˩˩],pak chhiûⁿ,pak chhiûⁿ,pet chhiòng,北牆,北牆,北牆
9824,pet-fông,pet-fông,pet6-fong1,[pet̚˨] [foŋ˨˦],pakhng,pak-hng,petfông,北方,北方,北方
9825,pet-fûng,pet-fûng,pet6-fung1,[pet̚˨] [fuŋ˨˦],pak hong,pak hong,pet fûng,北風,北風,北風
9826,pet-hoi,pet-hoi,pet6-hoi4,[pet̚˨] [hoi˥˥],pekhāi,pek-hāi,pethoi,迫害,迫害,迫害
9827,pet-khi̍t,pet-khi̍t,pet6-khit5,[pet̚˨] [kʰit̚˥],pakke̍k,pak-ke̍k,petkhi̍t,北極,北極,北極
9828,pet-khi̍t-sên,pet-khi̍t-sên,pet6-khit5-sen1,[pet̚˨] [kʰit̚˥] [sen˨˦],pakke̍k chheⁿ,pak-ke̍k chheⁿ,petkhi̍t sên,北極星,北極星,北極星
9829,pet-khiun,pet-khiun,pet6-khiun4,[pet̚˨] [kʰiun˥˥],pekkīn,pek-kīn,petkhiun,逼近,逼近,逼近
9830,pet-khiûn,pet-khiûn,pet6-khiun1,[pet̚˨] [kʰiun˨˦],pekkīn,pek-kīn,petkhiûn,迫近,迫近,迫近
9831,Pet-koet,Pet-koet,Pet6-koet6,[pet̚˨] [koet̚˨],Pakkok,Pak-kok,Petkoet,北國,北國,北國
9832,pet-mien,pet-mien,pet6-mien4,[pet̚˨] [mien˥˥],pakbīn,pak-bīn,petmien,北面,北面,北面
9833,Pet-mùn,Pet-mùn,Pet6-mun2,[pet̚˨] [mun˩˩],Pakmn̂g,Pak-mn̂g,Petmùn,北門,北門,北門
9834,pet-ngìn,pet-ngìn,pet6-ngin2,[pet̚˨] [ɲin˩˩],pek lâng,pek lâng,pet ngìn,迫人,迫人,迫人
9835,pet-pan-khiù,pet-pan-khiù,pet6-pan4-khiu2,[pet̚˨] [pan˥˥] [kʰiu˩˩],pak pòaⁿkiû,pak pòaⁿ-kiû,pet pankhiù,北半球,北半球,北半球
9836,pet-phién,pet-phién,pet6-phien3,[pet̚˨] [pʰien˧˩],pakpêng,pak-pêng,pet phién,北片,北片,北片
9837,pet-phu,pet-phu,pet6-phu4,[pet̚˨] [pʰu˥˥],pakpō͘,pak-pō͘,petphu,北部,北部,北部
9838,pet-piên,pet-piên,pet6-pien1,[pet̚˨] [pien˨˦],pakpêng,pak-pêng,petpiên,北邊,北邊,北邊
9839,pet-téu,pet-téu,pet6-teu3,[pet̚˨] [teu˧˩],paktáu,pak-táu,pettéu,北斗,北斗,北斗
9840,Pet-thèu,Pet-thèu,Pet6-theu2,[pet̚˨] [tʰeu˩˩],Paktâu,Pak-tâu,Petthèu,北投,北投,北投
9841,pet-to,pet-to,pet6-to4,[pet̚˨] [to˥˥],pek kah,pek kah,pet to,迫到,迫kah,迫到
9842,pet-tó,pet-tó,pet6-to3,[pet̚˨] [to˧˩],pek tio̍h,pek tio̍h,pet tó,迫到,迫tio̍h,迫到
9843,Pet-ye̍t,Pet-ye̍t,Pet6-yet5,[pet̚˨] [iet̚˥],Pak Oa̍t,Pak Oa̍t,Pet ye̍t,北越,北越,北越
9844,pêu-chhâ,pêu-chhâ,peu1-chha1,[peu˨˦] [tsʰa˨˦],piochhia,pio-chhia,pêuchhâ,飆車,飆車,飆車
9845,péu-chhìn,péu-chhìn,peu3-chhin2,[peu˧˩] [tɕʰin˩˩],piáuchêng,piáu-chêng,péuchhìn,表情,表情,表情
9846,pêu-chhiông,pêu-chhiông,peu1-chhiong1,[peu˨˦] [tɕʰioŋ˨˦],pió'á,pió-á,pêuchhiông,標槍,標槍,標槍
9847,péu-hien,péu-hien,peu3-hien4,[peu˧˩] [hien˥˥],piáuhiān,piáuh-iān,péuhien,表現,表現,表現
9848,péu-ló-thâi,péu-ló-thâi,peu3-lo3-thai1,[peu˧˩] [lo˧˩] [tʰai˨˦],piáu siótī,piáu sió-tī,péu lóthâi,表老弟,表小弟,表老弟
9849,péu-mien,péu-mien,peu3-mien4,[peu˧˩] [mien˥˥],piáubīn,piáu-bīn,péumien,表面,表面,表面
9850,péu-mìn,péu-mìn,peu3-min2,[peu˧˩] [min˩˩],piáubêng,piáu-bêng,péumìn,表明,表明,表明
9851,péu-phì,péu-phì,peu3-phi2,[peu˧˩] [pʰi˩˩],piáuphôe,piáu-phôe,péuphì,表皮,表皮,表皮
9852,pêu-sông-hi,pêu-sông-hi,peu1-song1-hi4,[peu˨˦] [soŋ˨˦] [hi˥˥],pio khí lì,pio khí lì,pêu sônghi,飆上去,跳起lì,跳上去
9853,péu-sṳ,péu-sṳ,peu3-sii4,[peu˧˩] [sɨ˥˥],piausī,piau-sī,péusṳ,表示,表示,表示
9854,péu-tha̍t,péu-tha̍t,peu3-that5,[peu˧˩] [tʰat̚˥],piáuta̍t,piáu-ta̍t,péutha̍t,表達,表達,表達
9855,pêu-thèu,pêu-thèu,peu1-theu2,[peu˨˦] [tʰeu˩˩],phiauthâu,phiau-thâu,pêuthèu,標頭,標頭,標示
9856,pêu-thiàu,pêu-thiàu,peu1-thiau2,[peu˨˦] [tʰiau˩˩],piothiàu,pio-thiàu,pêuthiàu,飆跳,飆跳,飆跳
9857,péu-yên,péu-yên,peu3-yen1,[peu˧˩] [ien˨˦],piáuián,piáu-ián,péuyên,表演,表演,表演
9858,péu-yòng,péu-yòng,peu3-yong2,[peu˧˩] [ioŋ˩˩],piáuiông,piáu-iông,péuyòng,表揚,表揚,表揚
9859,phà-chhiòng,phà-chhiòng,pha2-chhiong2,[pʰa˩˩] [tɕʰioŋ˩˩],peh chhiûⁿ,peh chhiûⁿ,phà chhiòng,爬牆,爬牆,爬牆
9860,phà-chhùng,phà-chhùng,pha2-chhung2,[pʰa˩˩] [tsʰuŋ˩˩],pâthiông,pât-hiông,phàchhùng,爬蟲,爬蟲,爬蟲
9861,phà-chhùng-lui,phà-chhùng-lui,pha2-chhung2-lui4,[pʰa˩˩] [tsʰuŋ˩˩] [lui˥˥],pâthiông lūi,pât-hiông lūi,phàchhùnglui,爬蟲類,爬蟲類,爬蟲類
9862,phà-chhut,phà-chhut,pha2-chhut6,[pʰa˩˩] [tsʰut̚˨],pê chhut,pê chhut,phà chhut,爬出,爬出,爬出
9863,pha-é,pha-é,pha4-e3,[pʰa˥˥] [e˧˩],phe'á,phe-á,pha'é,帕仔,帕á,帕仔
9864,phà-é,phà-é,pha2-e3,[pʰa˩˩] [e˧˩],pê'á,pê-á,phà'é,耙é,耙á,耙子
9865,phà-hâ,phà-hâ,pha2-ha1,[pʰa˩˩] [ha˨˦],pê lo̍h lâi,pê lo̍h lâi,phà hâ,爬下,pê lo̍h lâi,爬下
